Табличные марки тяжёлого бетона — нормируемые свойства;;;;;;;;;;;;;;
Источник: ГОСТ 26633-91 / ГОСТ 26633-2015 · docs.cntd.ru/document/9052221 · docs.cntd.ru/document/1200133282;;;;;;;;;;;;;;
"Марка
(M)";"Класс
(B)";"Rсж 28 сут
min, МПа";"Rсж 28 сут
max, МПа";"Rсж типов.
(среднее), МПа";"Морозост.
F min";"Морозост.
F max";"Водонепр.
W min";"Водонепр.
W max";"Удобоукл.
П (класс)";"Конус ОК
min, мм";"Конус ОК
max, мм";"Плотность
кг/м³";"Усадка
мм/м";Применение
М50;B3,5;3,5;5;4;50;50;2;2;П1;10;40;2200;0,5;Подготовит. слои, бетонная подготовка под фундамент
М75;B5;5;7,5;6;50;75;2;2;П1;10;40;2200;0,5;Стяжки под полы, заливка подошвы фундамента
М100;B7,5;7,5;10;8,5;50;75;2;2;П2;40;80;2250;0,5;Подбетонка, отмостка, садовые дорожки
М150;B10;10;15;12,5;75;100;2;4;П2;40;80;2250;0,4;Стяжки, основания заборов, гараж
М200;B15;15;20;17,5;100;150;4;4;П2;40;80;2300;0,4;Фундаменты на сухих грунтах, дорожки, отмостки
М250;B20;20;25;22,5;100;150;4;6;П2;40;80;2300;0,3;Фундаменты, лёгкие перекрытия, лестницы
М300;B22,5;22,5;28;25;150;200;6;6;П3;60;100;2350;0,3;Фундаменты жилых домов, перекрытия, дорожные плиты
М350;B25;25;32;28;200;300;6;8;П3;60;100;2350;0,3;ЖБ конструкции, мосты, бассейны
М400;B30;30;40;35;200;300;8;10;П3;60;100;2400;0,2;Колонны, ответственные несущие конструкции
М450;B35;35;45;40;300;400;10;12;П4;100;160;2400;0,2;Гидротехника, тоннели, массивные плиты
М500;B40;40;50;45;300;500;12;14;П4;100;160;2450;0,2;Спецсооружения, плотины, аэродромы
М600;B45;45;55;50;400;500;14;16;П4;100;160;2450;0,2;Высотные здания, ядерные объекты
М700;B55;55;65;60;500;500;16;18;П4;100;160;2500;0,15;Уникальные конструкции, преднапряжённый ЖБ
М800;B60;60;75;67,5;500;500;18;20;П4;100;160;2500;0,15;Спец. ЖБ, ядерные и военные сооружения